1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1
3,0,3,0,3,0,3,0,3
12,1,12,1,12,1,12,1,12
31,20,31,5,19,20,17,5,17
4,0,4,0,4,0,4,0,4
1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1
47,81,47,20,32,81,29,20,29
1,0,1,0,1,0,1,0,1
37,32,37,26,35,32,35,26,35
4,0,4,0,4,0,4,0,4
58,208,58,97,46,210,43,97,43
32,23,32,9,23,23,21,9,21
1,0,1,0,1,0,1,0,1
2,0,2,0,2,0,2,0,2
83,790,83,159,57,790,41,159,41
72,596,72,438,68,599,62,439,62
35,34,35,23,31,34,31,23,31
50,102,50,82,47,103,43,82,43
104,1782,104,409,72,1783,59,410,59
56,151,56,60,43,151,31,60,31
1,0,1,0,1,0,1,0,1
48,87,48,28,33,87,28,28,28
93,1435,93,650,77,1441,77,651,77
75,462,75,118,51,462,28,118,28
57,222,57,93,46,222,40,93,40
106,2351,106,1497,95,2352,67,1498,67
116,2716,116,916,85,2717,61,917,61
121,3510,121,1085,90,3511,57,1086,57
102,1417,102,423,74,1418,56,424,56
1,0,1,0,1,0,1,0,1
122,3938,122,1555,94,3939,72,1556,72
79,543,79,192,59,543,37,192,37
4,0,4,0,4,0,4,0,4
90,1047,90,537,75,1048,69,538,69
75,492,75,148,55,492,45,148,45
127,7027,127,2907,106,7029,84,2908,84
17,4,17,2,13,4,12,2,12
40,55,40,49,39,56,39,49,39
3,0,3,0,3,0,3,0,3
1,0,1,0,1,0,1,0,1
69,332,69,58,43,332,32,58,32
48,77,48,16,30,77,23,16,23
15,3,15,2,13,3,11,2,11
133,6636,133,3852,121,6638,98,3854,98
98,1469,98,373,71,1475,64,374,64
19,6,19,3,15,6,14,3,14
1,0,1,0,1,0,1,0,1
84,742,84,580,79,750,79,582,79
1,0,1,0,1,0,1,0,1
7,0,7,0,7,0,7,0,7
1,0,1,0,1,0,1,0,1
66,328,66,236,60,329,54,237,54
122,4074,122,2005,102,4077,93,2008,93
107,2305,107,1140,90,2307,75,1142,75
152,17344,152,5076,130,17347,95,5079,95
74,431,74,149,54,431,43,149,43
26,14,26,3,16,14,13,3,13
4,0,4,0,4,0,4,0,4
1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1
54,144,54,69,41,146,36,69,36
141,5810,141,1044,91,5812,77,1046,77
54,146,54,40,36,146,31,40,31
169,19307,169,4648,129,19310,98,4651,98
63,288,63,94,45,288,42,94,42
123,4653,123,2741,108,4656,90,2743,90
1,0,1,0,1,0,1,0,1
48,87,48,22,31,87,26,22,26
49,142,49,101,44,144,44,101,44
178,48072,178,2894,115,48074,79,2896,79
78,683,78,294,62,684,51,294,51
79,659,79,386,68,660,52,386,52
120,3692,120,2401,105,3695,88,2403,88
67,356,67,154,53,357,44,154,44
176,45815,176,11375,145,45821,122,11380,122
8,1,8,0,7,1,7,0,7
101,1559,101,246,62,1560,51,247,51
40,42,40,9,24,42,20,9,20
162,22130,162,7840,144,22134,119,7843,119
1,0,1,0,1,0,1,0,1
3,0,3,0,3,0,3,0,3
94,1142,94,292,64,1143,54,293,54
1,0,1,0,1,0,1,0,1
61,221,61,47,40,222,34,47,34
55,200,55,122,48,201,46,122,46
176,54138,176,22105,162,54146,154,22112,154
157,12474,157,6247,131,12477,104,6250,104
189,70273,189,8042,150,70275,106,8044,106
193,75343,193,9733,150,75348,117,9737,117
195,65516,195,5728,141,65518,106,5729,106
217,100844,217,6635,148,100846,107,6636,107
203,74775,203,10322,160,74777,116,10324,116
223,83459,223,24160,193,83466,182,24166,182
232,101129,232,24940,202,101133,147,24943,147
270,184432,270,53135,233,184437,180,53140,180
